source,raw_field,canonical_concept,total_count,missing_count,missing_percentage,valid_count,valid_percentage,invalid_count,invalid_percentage,changed_count,changed_percentage_of_valid,quality_flagged_count,transformations
app_users,account_id,account_reference,120000,0,0.0,120000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 120000}"
app_users,account_id,source_record_id,120000,0,0.0,120000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 120000}"
app_users,city,city,120000,0,0.0,120000,100.0,0,0.0,96133,80.110833,0,"{""NFKC + case-fold + safe city punctuation + whitespace collapse"": 120000}"
app_users,country,country,120000,0,0.0,120000,100.0,0,0.0,95853,79.8775,0,"{""NFKC + ISO country alias mapping"": 120000}"
app_users,device_id,device_id,120000,0,0.0,120000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 120000}"
app_users,dob,date_of_birth,120000,6000,5.0,114000,95.0,0,0.0,0,0.0,160,"{""declared date format to ISO date"": 114000, ""documented missing-token recognition"": 6000}"
app_users,email,email,120000,5365,4.470833,114635,95.529167,0,0.0,0,0.0,0,"{""NFKC + single-address extraction + case-fold; dots/plus preserved"": 114635, ""documented missing-token recognition"": 5365}"
app_users,first_name,first_name,120000,5195,4.329167,114805,95.670833,0,0.0,114272,99.535735,5720,"{""NFKC + primary export text + case-fold + whitespace collapse"": 114805, ""documented missing-token recognition"": 5195}"
app_users,last_name,last_name,120000,5317,4.430833,114683,95.569167,0,0.0,114683,100.0,5644,"{""NFKC + primary export text + case-fold + whitespace collapse"": 114683, ""documented missing-token recognition"": 5317}"
app_users,phone,phone,120000,12210,10.175,107790,89.825,0,0.0,0,0.0,1072,"{""NFKC + safe punctuation removal; country code not inferred"": 107790, ""documented missing-token recognition"": 12210}"
social_logins,identity_payload.display_name,full_name,90000,31322,34.802222,58678,65.197778,0,0.0,58678,100.0,31178,"{""NFKC + primary export text + case-fold + whitespace collapse"": 58678, ""documented missing-token recognition"": 31322}"
social_logins,identity_payload.hashed_email,hashed_email,90000,74375,82.638889,15625,17.361111,0,0.0,0,0.0,0,"{""documented missing-token recognition"": 74375, ""trim + case-fold + SHA-256 shape validation"": 15625}"
social_logins,identity_payload.provider_id,provider_id,90000,0,0.0,90000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 90000}"
social_logins,identity_payload.provider_id,source_record_id,90000,0,0.0,90000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 90000}"
social_logins,identity_payload.verified_email,email,90000,51157,56.841111,38843,43.158889,0,0.0,1105,2.844785,0,"{""NFKC + single-address extraction + case-fold; dots/plus preserved"": 38843, ""documented missing-token recognition"": 51157}"
store_customers,app_account_ref,account_reference,80000,75000,93.75,5000,6.25,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 5000, ""documented missing-token recognition"": 75000}"
store_customers,city,city,80000,0,0.0,80000,100.0,0,0.0,63937,79.92125,0,"{""NFKC + case-fold + safe city punctuation + whitespace collapse"": 80000}"
store_customers,contact_no,phone,80000,7530,9.4125,72470,90.5875,0,0.0,0,0.0,1928,"{""NFKC + safe punctuation removal; country code not inferred"": 72470, ""documented missing-token recognition"": 7530}"
store_customers,country,country,80000,0,0.0,80000,100.0,0,0.0,63984,79.98,0,"{""NFKC + ISO country alias mapping"": 80000}"
store_customers,customer_email_address,email,80000,3265,4.08125,76507,95.63375,228,0.285,4656,6.085718,4884,"{""NFKC + single-address extraction + case-fold; dots/plus preserved"": 76507, ""documented missing-token recognition"": 3265, ""single-address extraction + case-fold"": 228}"
